Poster,Tier,Pick,Trade
ratmosphere,M6-10, Aoyiama,
ratmosphere,M11+, Chiyonokuni,
Robviously,Y/O, Takakeisho,3:Terunofuji
Robviously,S/K, Wakatakakage,
Robviously,M1-5, Daiesho,
Robviously,M6-10, Chiyoshoma,
Robviously,M11+, Daiamami,
scripterror,Y/O, Hakuho,
scripterror,S/K, Mitakeumi,
scripterror,M1-5, Ichinojo,
scripterror,M6-10, Terutsuyoshi,
scripterror,M11+, Tokushoryu,
Scythe,Y/O, Takakeishou,3:Terunofuji
Scythe,S/K, Mitakeumi,
Scythe,M1-5, Endo,
Scythe,M6-10, Chiyoshoma,
Scythe,M11+, Chiyonoo,
Shiroc,Y/O, Terunofuji,
Shiroc,S/K, Mitakeumi,
Shiroc,M1-5, Chiyotairyu,
Shiroc,M6-10, Onosho,
Shiroc,M11+, Chiyomaru,
sivad,Y/O, Terunofuji,
sivad,S/K, Wakatakakage,
sivad,M1-5, Endo,
sivad,M6-10, AOIYAMA,
sivad,M11+, Kaisei,
Skjorte,Y/O, Hakuho,
Skjorte,S/K, Mitakeumi,
Skjorte,M1-5, Hoshoryu,
Skjorte,M6-10, Kiribayama,
Skjorte,M11+, Tokushoryu,
Teddybear,Y/O, Terunofuji,
Teddybear,S/K, Wakatakakage,
Teddybear,M1-5, Okinoumi,
Teddybear,M6-10, AOIYAMA,
Teddybear,M11+, Ura,
Thauros,Y/O, Terunofuji,
Thauros,S/K, Mitakeumi,
Thauros,M1-5, Daieisho,
Thauros,M6-10, Onosho,
Thauros,M11+, Ura,
Tiny Bug Child,Y/O, Takakeisho,3:Terunofuji
Tiny Bug Child,S/K, Mitakeumi,
Tiny Bug Child,M1-5, Daieisho,
Tiny Bug Child,M6-10, Onosho,
Tiny Bug Child,M11+, Ichiyamamoto,
Tochiazuma,Y/O, Hakuho,
Tochiazuma,S/K, Meisei,
Tochiazuma,M1-5, Tobizaru,
Tochiazuma,M6-10, Onosho,
Tochiazuma,M11+, Ishiura,
TwoWordName,Y/O, Hakuho,
TwoWordName,S/K, Mitakeumi,
TwoWordName,M1-5, Hoshoryu,
